DT,Home,Away,Home_points,Away_points,season,country,league
2023-03-24 01:00:00,New Orleans Pelicans,Charlotte Hornets,115.0,96.0,2022-2023,usa,nba
2023-03-24 00:30:00,Brooklyn Nets,Cleveland Cavaliers,114.0,116.0,2022-2023,usa,nba
2023-03-24 00:00:00,Orlando Magic,New York Knicks,111.0,106.0,2022-2023,usa,nba
2023-03-23 03:00:00,Los Angeles Lakers,Phoenix Suns,122.0,111.0,2022-2023,usa,nba
2023-03-23 02:00:00,Utah Jazz,Portland Trail Blazers,115.0,127.0,2022-2023,usa,nba
2023-03-23 01:00:00,Chicago Bulls,Philadelphia 76ers,91.0,116.0,2022-2023,usa,nba
2023-03-23 01:00:00,Memphis Grizzlies,Houston Rockets,130.0,125.0,2022-2023,usa,nba
2023-03-23 01:00:00,Milwaukee Bucks,San Antonio Spurs,130.0,94.0,2022-2023,usa,nba
2023-03-23 01:00:00,Minnesota Timberwolves,Atlanta Hawks,125.0,124.0,2022-2023,usa,nba
2023-03-23 00:30:00,Dallas Mavericks,Golden State Warriors,125.0,127.0,2022-2023,usa,nba
2023-03-23 00:30:00,Miami Heat,New York Knicks,127.0,120.0,2022-2023,usa,nba
2023-03-23 00:30:00,Toronto Raptors,Indiana Pacers,114.0,118.0,2022-2023,usa,nba
2023-03-23 00:00:00,Washington Wizards,Denver Nuggets,104.0,118.0,2022-2023,usa,nba
2023-03-22 03:30:00,Los Angeles Clippers,Oklahoma City Thunder,100.0,101.0,2022-2023,usa,nba
2023-03-22 03:00:00,Sacramento Kings,Boston Celtics,109.0,132.0,2022-2023,usa,nba
2023-03-22 01:00:00,New Orleans Pelicans,San Antonio Spurs,119.0,84.0,2022-2023,usa,nba
2023-03-22 00:30:00,Atlanta Hawks,Detroit Pistons,129.0,107.0,2022-2023,usa,nba
2023-03-22 00:30:00,Brooklyn Nets,Cleveland Cavaliers,109.0,115.0,2022-2023,usa,nba
2023-03-22 00:00:00,Orlando Magic,Washington Wizards,122.0,112.0,2022-2023,usa,nba
2023-03-21 02:00:00,Utah Jazz,Sacramento Kings,128.0,120.0,2022-2023,usa,nba
